COUNTRY,INDICATOR,FREQUENCY,SCALE,TAHUN,VALUE
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2018,-2.94
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2019,-2.71
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2020,-0.42
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2021,0.30
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2022,1.00
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2023,-0.15
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2024,-0.09
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2025,-0.14
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2026,-0.33
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2027,-0.51
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2028,-0.70
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2029,-0.88
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2030,-1.07
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2000,4.98
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2001,3.64
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2002,4.50
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2003,4.78
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2004,5.03
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2005,5.69
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2006,5.50
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2007,6.35
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2008,7.44
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2009,4.70
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2010,6.38
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2011,6.17
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2012,6.03
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2013,5.56
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2014,5.01
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2015,4.88
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2016,5.03
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2017,5.07
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2018,5.17
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2019,5.02
