COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2015,2.86,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2015,-0.64,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2015,1.76,Actual
Singapore,Unemployment rate,Annual,Units,2015,1.90,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2015,18.69,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2016,3.75,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,-0.53,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2016,3.25,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2016,0.17,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2016,2.41,Actual
Singapore,Unemployment rate,Annual,Units,2016,2.08,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2016,18.01,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2017,4.48,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,0.58,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2017,5.24,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2017,0.38,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2017,4.38,Actual
Singapore,Unemployment rate,Annual,Units,2017,2.17,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2017,18.60,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2018,3.45,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,0.44,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2018,3.68,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2018,0.46,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2018,2.97,Actual
Singapore,Unemployment rate,Annual,Units,2018,2.10,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2018,15.69,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2019,1.31,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,0.57,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2019,3.77,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2019,0.76,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2019,0.16,Actual
Singapore,Unemployment rate,Annual,Units,2019,2.25,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2019,15.38,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2020,-3.81,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,-0.17,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2020,-6.73,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2020,0.04,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2020,-3.51,Actual
Singapore,Unemployment rate,Annual,Units,2020,3.00,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2020,17.50,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2021,9.76,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,2.32,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2021,1.13,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2021,3.96,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2021,14.43,Actual
Singapore,Unemployment rate,Annual,Units,2021,2.65,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2021,19.80,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2022,4.11,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,6.13,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2022,1.21,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2022,6.47,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2022,0.72,Actual
Singapore,Unemployment rate,Annual,Units,2022,2.10,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2022,18.42,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2023,1.82,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,4.83,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2023,3.47,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2023,3.75,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2023,-3.01,Actual
Singapore,Unemployment rate,Annual,Units,2023,1.93,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2023,17.69,Actual
