COUNTRY,INDICATOR,FREQUENCY,SCALE,TAHUN,VALUE,TYPE
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2009,4.70,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2010,6.38,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2011,6.17,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2012,6.03,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2013,5.56,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2014,5.01,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2015,4.88,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2016,5.03,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2017,5.07,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2018,5.17,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2019,5.02,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2020,-2.07,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2021,3.70,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2022,5.31,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2023,5.05,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2024,4.85,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2025,4.85,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2026,4.29,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2027,4.24,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2028,4.19,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2029,4.14,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2030,4.09,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2000,3.78,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2001,2.19,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2002,3.03,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2003,3.31,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2004,3.55,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2005,4.21,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2006,4.02,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2007,4.85,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2008,5.93,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2009,3.23,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2010,4.88,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2011,4.26,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2012,4.55,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2013,4.12,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2014,3.61,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2015,3.64,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2016,3.69,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2017,3.92,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2018,4.06,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2019,3.94,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2020,-3.26,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2021,2.76,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2022,4.15,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2023,3.93,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2024,5.03,Actual
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2025,3.92,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2026,3.41,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2027,3.39,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2028,3.37,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2029,3.35,Forecast
Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2030,3.34,Forecast
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2000,-1.87,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2001,-1.76,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2002,-0.58,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2003,-1.08,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2004,-0.26,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2005,0.46,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2006,0.45,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2007,-0.95,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2008,0.05,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2009,-1.64,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2010,-1.24,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2011,-0.70,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2012,-1.59,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2013,-1.96,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2014,-1.80,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2015,-2.72,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2016,-2.56,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2017,-2.26,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2018,-1.69,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2019,-2.09,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2020,-6.07,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2021,-4.40,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2022,-2.31,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2023,-1.64,Actual
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2024,-1.97,Forecast
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2025,-2.14,Forecast
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2026,-2.19,Forecast
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2027,-2.22,Forecast
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2028,-2.24,Forecast
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2029,-2.26,Forecast
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2030,-2.29,Forecast
Indonesia,Unemployment rate,Annual,Units,2000,6.08,Actual
Indonesia,Unemployment rate,Annual,Units,2001,8.10,Actual
Indonesia,Unemployment rate,Annual,Units,2002,9.06,Actual
Indonesia,Unemployment rate,Annual,Units,2003,9.67,Actual
Indonesia,Unemployment rate,Annual,Units,2004,9.86,Actual
Indonesia,Unemployment rate,Annual,Units,2005,11.24,Actual
Indonesia,Unemployment rate,Annual,Units,2006,10.28,Actual
Indonesia,Unemployment rate,Annual,Units,2007,9.11,Actual
Indonesia,Unemployment rate,Annual,Units,2008,8.39,Actual
Indonesia,Unemployment rate,Annual,Units,2009,7.87,Actual
Indonesia,Unemployment rate,Annual,Units,2010,7.14,Actual
Indonesia,Unemployment rate,Annual,Units,2011,6.56,Actual
Indonesia,Unemployment rate,Annual,Units,2012,6.14,Actual
Indonesia,Unemployment rate,Annual,Units,2013,6.25,Actual
Indonesia,Unemployment rate,Annual,Units,2014,5.94,Actual
Indonesia,Unemployment rate,Annual,Units,2015,6.18,Actual
Indonesia,Unemployment rate,Annual,Units,2016,5.61,Actual
Indonesia,Unemployment rate,Annual,Units,2017,5.50,Actual
Indonesia,Unemployment rate,Annual,Units,2018,5.34,Actual
Indonesia,Unemployment rate,Annual,Units,2019,5.28,Actual
Indonesia,Unemployment rate,Annual,Units,2020,7.07,Actual
Indonesia,Unemployment rate,Annual,Units,2021,6.49,Actual
Indonesia,Unemployment rate,Annual,Units,2022,5.86,Actual
Indonesia,Unemployment rate,Annual,Units,2023,5.32,Actual
Indonesia,Unemployment rate,Annual,Units,2024,4.91,Actual
Indonesia,Unemployment rate,Annual,Units,2025,4.85,Actual
Indonesia,Unemployment rate,Annual,Units,2026,4.80,Forecast
Indonesia,Unemployment rate,Annual,Units,2027,4.75,Forecast
Indonesia,Unemployment rate,Annual,Units,2028,4.70,Forecast
Indonesia,Unemployment rate,Annual,Units,2029,4.65,Forecast
Indonesia,Unemployment rate,Annual,Units,2030,4.60,Forecast
