COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2015,-3.68,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2015,0.19,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,0.80,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2015,1.56,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2015,3.07,Actual
Japan,Unemployment rate,Annual,Units,2015,3.38,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2016,0.77,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2016,-3.60,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2016,0.26,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,-0.12,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2016,0.75,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2016,3.95,Actual
Japan,Unemployment rate,Annual,Units,2016,3.11,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2017,1.85,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2017,-3.10,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2017,0.55,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,0.49,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2017,1.68,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2017,4.13,Actual
Japan,Unemployment rate,Annual,Units,2017,2.82,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2018,0.84,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2018,-2.47,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2018,0.87,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,0.99,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2018,0.64,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2018,3.53,Actual
Japan,Unemployment rate,Annual,Units,2018,2.43,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2019,-0.19,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2019,-3.04,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2019,0.51,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2019,0.47,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2019,-0.40,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2019,3.45,Actual
Japan,Unemployment rate,Annual,Units,2019,2.36,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2020,-3.89,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2020,-9.08,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2020,-0.92,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,-0.03,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2020,-4.17,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2020,2.97,Actual
Japan,Unemployment rate,Annual,Units,2020,2.80,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2021,2.99,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2021,-6.13,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2021,0.50,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,-0.23,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2021,2.70,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2021,3.89,Actual
Japan,Unemployment rate,Annual,Units,2021,2.82,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2022,1.31,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2022,-4.21,Actual
