Company,Year,Assets,Cash,Equity,Profit,Revenue,Return on Equity,Return on Assets,Profit Margin,Trailing P/E,Price/Sales,Price/Book,PEG,Forward P/E
MSFT,2022,364840000000.0,13931000000.0,166542000000.0,135620000000,198270000000,42.88,15.22,34.37,25.87,8.9,10.32,2.13,25.25
NEE,2021,127684000000.0,1105000000.0,36513000000.0,10707000000,17997000000,6.41,1.48,19.3,43.92,8.48,4.38,2.18,27.78
NEE,2022,140912000000.0,639000000.0,37202000000.0,8589000000,17069000000,6.41,1.48,19.3,43.92,8.48,4.38,2.18,27.78
NVDA,2021,28791000000.0,847000000.0,16893000000.0,10557000000,16675000000,26.39,11.23,20.85,66.55,13.82,18.02,3.69,35.97
NVDA,2022,44187000000.0,1990000000.0,26612000000.0,17475000000,26914000000,26.39,11.23,20.85,66.55,13.82,18.02,3.69,35.97
PEP,2021,92918000000.0,8185000000.0,13454000000.0,38637000000,70372000000,55.71,8.38,11.61,26.12,3.03,13.26,3.09,24.88
PEP,2022,92377000000.0,5596000000.0,16043000000.0,42429000000,79474000000,55.71,8.38,11.61,26.12,3.03,13.26,3.09,24.88
PFE,2021,154229000000.0,1786000000.0,63238000000.0,33284000000,41651000000,35.51,13.32,29.81,,,,,
PFE,2022,181476000000.0,1944000000.0,77201000000.0,50627000000,81288000000,35.51,13.32,29.81,,,,,
PG,2021,119307000000.0,10288000000.0,45508000000.0,39144000000,76118000000,32.24,9.86,18.11,25.21,4.57,7.97,4.74,25.06
PG,2022,117208000000.0,7214000000.0,45746000000.0,38212000000,80187000000,32.24,9.86,18.11,25.21,4.57,7.97,4.74,25.06
PM,2021,44815000000.0,7280000000.0,-12567000000.0,19125000000,28694000000,,,,,,,,
PM,2022,41290000000.0,4496000000.0,-10106000000.0,21375000000,31405000000,,,,,,,,
RTX,2021,162153000000.0,8802000000.0,72163000000.0,8620000000,56587000000,6.4,2.83,6.76,32.48,2.2,2.04,1.8,18.59
RTX,2022,161404000000.0,7832000000.0,73068000000.0,12525000000,64388000000,6.4,2.83,6.76,32.48,2.2,2.04,1.8,18.59
TMO,2021,69052000000.0,10325000000.0,34507000000.0,16008000000,32218000000,17.09,6.99,15.92,30.34,4.83,4.86,4.1,23.42
TMO,2022,95123000000.0,4477000000.0,40793000000.0,19638000000,39211000000,17.09,6.99,15.92,30.34,4.83,4.86,4.1,23.42
TSLA,2021,52148000000.0,19384000000.0,22225000000.0,6630000000,31536000000,32.24,11.72,14.95,55.93,8.33,14.33,1.48,33.22
TSLA,2022,62131000000.0,17576000000.0,30189000000.0,13606000000,53823000000,32.24,11.72,14.95,55.93,8.33,14.33,1.48,33.22
TXN,2021,19351000000.0,3107000000.0,9187000000.0,9269000000,14461000000,66.96,27.18,44.21,18.13,7.97,10.82,2.94,22.37
TXN,2022,24676000000.0,4631000000.0,13333000000.0,12376000000,18344000000,66.96,27.18,44.21,18.13,7.97,10.82,2.94,22.37
V,2021,82896000000.0,16487000000.0,34509000000.0,23375000000,24105000000,40.88,14.65,51.03,29.87,15.24,12.44,1.6,25.19
V,2022,85501000000.0,15689000000.0,33257000000.0,28567000000,29310000000,40.88,14.65,51.03,29.87,15.24,12.44,1.6,25.19
VZ,2021,316481000000.0,22171000000.0,67842000000.0,77091000000,128292000000,23.66,4.59,14.22,8.33,1.19,1.84,5.64,7.56
VZ,2022,366596000000.0,2921000000.0,81790000000.0,77312000000,133613000000,23.66,4.59,14.22,8.33,1.19,1.84,5.64,7.56
WFC,2021,1952911000000.0,329084000000.0,164419000000.0,60243000000,60243000000,9.01,0.87,21.39,12.36,2.46,1.16,0.19,9.35
WFC,2022,1948068000000.0,299241000000.0,168195000000.0,82948000000,82948000000,9.01,0.87,21.39,12.36,2.46,1.16,0.19,9.35
WMT,2021,252496000000.0,17741000000.0,80925000000.0,138836000000,559151000000,10.65,6.11,1.49,47.07,0.7,5.75,4.0,23.53
WMT,2022,244860000000.0,14760000000.0,83253000000.0,143754000000,572754000000,10.65,6.11,1.49,47.07,0.7,5.75,4.0,23.53
XOM,2021,332750000000.0,4364000000.0,157150000000.0,57157000000,179784000000,29.73,11.06,13.32,10.56,1.17,2.27,1.69,9.08
XOM,2022,338923000000.0,6802000000.0,168577000000.0,90045000000,278981000000,29.73,11.06,13.32,10.56,1.17,2.27,1.69,9.08
